KPI,Index,Timestamp,Value
KPI1,Index1,2024-07-19 18:52:44.950328,3.5296965468561647
KPI1,Index1,2024-07-19 18:57:44.950328,86.01075958807495
KPI1,Index1,2024-07-19 19:02:44.950328,44.92728563249281
KPI1,Index1,2024-07-19 19:07:44.950328,21.734748700713023
KPI1,Index1,2024-07-19 19:12:44.950328,55.31519263149319
KPI1,Index1,2024-07-19 19:17:44.950328,51.80504558505405
KPI1,Index1,2024-07-19 19:22:44.950328,69.17944041572677
KPI1,Index1,2024-07-19 19:27:44.950328,28.805663312276696
KPI1,Index1,2024-07-19 19:32:44.950328,13.20842585839852
KPI1,Index1,2024-07-19 19:37:44.950328,19.62737703656723
KPI1,Index1,2024-07-19 19:42:44.950328,69.32475835961156
KPI1,Index1,2024-07-19 19:47:44.950328,87.24009262770826
KPI1,Index1,2024-07-19 19:52:44.950328,23.49639950671847
KPI1,Index1,2024-07-19 19:57:44.950328,14.17132008211144
KPI1,Index1,2024-07-19 20:02:44.950328,83.43427806466495
KPI1,Index1,2024-07-19 20:07:44.950328,42.92218395288819
KPI1,Index1,2024-07-19 20:12:44.950328,40.0445371091137
KPI1,Index1,2024-07-19 20:17:44.950328,25.48607041462332
KPI1,Index1,2024-07-19 20:22:44.950328,44.622610629016556
KPI1,Index1,2024-07-19 20:27:44.950328,41.22735290189405
KPI1,Index1,2024-07-19 20:32:44.950328,62.195034438961564
KPI1,Index1,2024-07-19 20:37:44.950328,14.830364872889323
KPI1,Index1,2024-07-19 20:42:44.950328,4.80798400183734
KPI1,Index1,2024-07-19 20:47:44.950328,1.6892872149633864
KPI1,Index1,2024-07-19 20:52:44.950328,53.87094012908534
KPI1,Index1,2024-07-19 20:57:44.950328,98.3524883672772
KPI1,Index1,2024-07-19 21:02:44.950328,60.99980358362325
KPI1,Index1,2024-07-19 21:07:44.950328,18.50576639185466
KPI1,Index1,2024-07-19 21:12:44.950328,79.04243851375269
KPI1,Index1,2024-07-19 21:17:44.950328,19.461024310954013
KPI1,Index1,2024-07-19 21:22:44.950328,94.58022131188343
KPI1,Index1,2024-07-19 21:27:44.950328,49.306690865548305
KPI1,Index1,2024-07-19 21:32:44.950328,57.78357997624117
KPI1,Index1,2024-07-19 21:37:44.950328,4.460912687663344
KPI1,Index1,2024-07-19 21:42:44.950328,56.02046103431127
KPI1,Index1,2024-07-19 21:47:44.950328,17.656825236731844
KPI1,Index1,2024-07-19 21:52:44.950328,47.69628186391325
KPI1,Index1,2024-07-19 21:57:44.950328,6.650846558819379
KPI1,Index1,2024-07-19 22:02:44.950328,42.9301001356623
KPI1,Index1,2024-07-19 22:07:44.950328,62.5558307359984
KPI1,Index1,2024-07-19 22:12:44.950328,58.51517831035217
KPI1,Index1,2024-07-19 22:17:44.950328,34.63011231523778
KPI1,Index1,2024-07-19 22:22:44.950328,22.459273918783996
KPI1,Index1,2024-07-19 22:27:44.950328,11.606791897338153
KPI1,Index1,2024-07-19 22:32:44.950328,23.952008176298058
KPI1,Index1,2024-07-19 22:37:44.950328,46.31913276009041
KPI1,Index1,2024-07-19 22:42:44.950328,77.56506503084472
KPI1,Index1,2024-07-19 22:47:44.950328,6.608779336806158
KPI1,Index1,2024-07-19 22:52:44.950328,23.94162884134555
KPI1,Index1,2024-07-19 22:57:44.950328,27.74644712273071
KPI1,Index1,2024-07-19 23:02:44.950328,18.150845568154782
KPI1,Index1,2024-07-19 23:07:44.950328,40.64349240564429
KPI1,Index1,2024-07-19 23:12:44.950328,24.27543429600564
KPI1,Index1,2024-07-19 23:17:44.950328,13.09560162311232
KPI1,Index1,2024-07-19 23:22:44.950328,42.84041006753684
KPI1,Index1,2024-07-19 23:27:44.950328,93.23317949803187
KPI1,Index1,2024-07-19 23:32:44.950328,52.375697004502875
KPI1,Index1,2024-07-19 23:37:44.950328,80.1399043748598
KPI1,Index1,2024-07-19 23:42:44.950328,63.79864405172555
KPI1,Index1,2024-07-19 23:47:44.950328,81.20077159627466
KPI1,Index1,2024-07-19 23:52:44.950328,25.76393498928502
KPI1,Index1,2024-07-19 23:57:44.950328,44.164353749894126
KPI1,Index1,2024-07-20 00:02:44.950328,11.231893826648975
KPI1,Index1,2024-07-20 00:07:44.950328,58.92699433686622
KPI1,Index1,2024-07-20 00:12:44.950328,59.4362392722529
KPI1,Index1,2024-07-20 00:17:44.950328,40.28460639895367
KPI1,Index1,2024-07-20 00:22:44.950328,86.52642103817938
KPI1,Index1,2024-07-20 00:27:44.950328,21.190274636480854
KPI1,Index1,2024-07-20 00:32:44.950328,98.13542474097527
KPI1,Index1,2024-07-20 00:37:44.950328,54.86717682713875
KPI1,Index1,2024-07-20 00:42:44.950328,98.25956792685903
KPI1,Index1,2024-07-20 00:47:44.950328,35.732283175521985
KPI1,Index1,2024-07-20 00:52:44.950328,14.859468691997979
KPI1,Index1,2024-07-20 00:57:44.950328,85.14813426334936
KPI1,Index1,2024-07-20 01:02:44.950328,35.38446247080395
KPI1,Index1,2024-07-20 01:07:44.950328,35.990887995517674
KPI1,Index1,2024-07-20 01:12:44.950328,12.623179623219427
KPI1,Index1,2024-07-20 01:17:44.950328,32.58113972343158
KPI1,Index1,2024-07-20 01:22:44.950328,68.48467590069993
KPI1,Index1,2024-07-20 01:27:44.950328,63.995966900647296
KPI1,Index1,2024-07-20 01:32:44.950328,21.95963249490064
KPI1,Index1,2024-07-20 01:37:44.950328,1.6622214708644445
KPI1,Index1,2024-07-20 01:42:44.950328,0.8229724986758891
KPI1,Index1,2024-07-20 01:47:44.950328,3.467645816621956
KPI1,Index1,2024-07-20 01:52:44.950328,14.561496596926881
KPI1,Index1,2024-07-20 01:57:44.950328,26.45634196205441
KPI1,Index1,2024-07-20 02:02:44.950328,7.269048225233954
KPI1,Index1,2024-07-20 02:07:44.950328,3.837658404524602
KPI1,Index1,2024-07-20 02:12:44.950328,13.937630728168582
KPI1,Index1,2024-07-20 02:17:44.950328,25.427052013095096
KPI1,Index1,2024-07-20 02:22:44.950328,22.891001322629712
KPI1,Index1,2024-07-20 02:27:44.950328,62.02804922949143
KPI1,Index1,2024-07-20 02:32:44.950328,90.60205531353188
